timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,46.5600,47.0800,46.5000,47.0000,47.0000,871214,0.0000,1.0000
2019-05-02,46.0100,46.2100,45.8200,45.9700,45.9700,1050712,0.0000,1.0000
2019-05-01,47.3100,47.3301,46.1850,46.2600,46.2600,1645800,0.0000,1.0000
2019-04-30,47.2900,47.3300,47.0650,47.1300,47.1300,919929,0.0000,1.0000
2019-04-29,47.3500,47.4900,47.2300,47.4000,47.4000,656672,0.0000,1.0000
2019-04-26,47.2500,47.5000,47.1490,47.3800,47.3800,766405,0.0000,1.0000
2019-04-25,47.2000,47.5200,46.9750,47.3200,47.3200,813453,0.0000,1.0000
2019-04-24,47.8700,47.8800,47.3400,47.4100,47.4100,825933,0.0000,1.0000
2019-04-23,48.0800,48.7100,48.0574,48.4700,48.4700,1320767,0.0000,1.0000
2019-04-22,48.5700,48.9800,48.5700,48.9400,48.9400,450629,0.0000,1.0000
2019-04-18,48.7300,48.8500,48.5100,48.7200,48.7200,687156,0.0000,1.0000
2019-04-17,48.7200,48.9700,48.3800,48.9300,48.9300,2073933,0.0000,1.0000
2019-04-16,49.7400,49.9000,48.9750,49.2800,49.2800,1611618,0.0000,1.0000
2019-04-15,49.9800,50.0600,49.7100,49.7400,49.7400,1568465,0.0000,1.0000
2019-04-12,50.7900,50.8100,50.3900,50.4700,50.4700,1059711,0.0000,1.0000
2019-04-11,50.0800,50.3802,49.9500,50.1000,50.1000,1095370,0.0000,1.0000
2019-04-10,50.7300,50.9700,50.5750,50.7700,50.7700,977475,0.0000,1.0000
2019-04-09,50.6400,50.7700,50.2700,50.3900,50.3900,2123839,0.0000,1.0000
2019-04-08,50.7300,50.9000,50.5150,50.8800,50.8800,1102456,0.0000,1.0000
2019-04-05,50.3100,50.4700,50.0600,50.2100,50.2100,872250,0.0000,1.0000
2019-04-04,49.9800,50.1200,49.6350,49.9500,49.9500,1707272,0.0000,1.0000
2019-04-03,50.5700,50.5900,50.1100,50.1900,50.1900,3158772,0.0000,1.0000
2019-04-02,49.7400,49.9500,49.6200,49.8500,49.8500,2149432,0.0000,1.0000
2019-04-01,49.9600,49.9800,49.6150,49.7500,49.7500,1884504,0.0000,1.0000
2019-03-29,48.4300,48.5500,47.9900,48.2800,48.2800,1960065,0.0000,1.0000
2019-03-28,47.8200,47.8250,47.4900,47.7500,47.7500,1763543,0.0000,1.0000
2019-03-27,47.5200,47.6400,47.1650,47.5700,47.5700,1851950,0.0000,1.0000
2019-03-26,47.1800,47.4064,47.0950,47.2700,47.2700,1275665,0.0000,1.0000
2019-03-25,46.2400,46.8650,46.2400,46.5600,46.5600,1700453,0.0000,1.0000
2019-03-22,46.7200,46.8500,46.1300,46.1500,46.1500,1828753,0.0000,1.0000
2019-03-21,47.1700,47.5000,46.7600,47.3300,47.3300,1620302,0.0000,1.0000
2019-03-20,46.3600,47.3900,46.1200,47.0700,47.0700,1917731,0.0000,1.0000
2019-03-19,47.6900,47.7100,46.4700,46.5800,46.5800,2045034,0.0000,1.0000
2019-03-18,46.4600,46.8300,46.3950,46.7700,46.7700,1266547,0.0000,1.0000
2019-03-15,45.6200,45.9200,45.6200,45.6700,45.6700,2125335,0.0000,1.0000
2019-03-14,46.0000,46.0700,45.8500,45.9000,45.9000,689111,0.0000,1.0000
2019-03-13,46.4900,46.5400,46.1775,46.4600,46.4600,1378093,0.0000,1.0000
2019-03-12,45.5900,45.8900,45.5900,45.7900,45.7900,897252,0.0000,1.0000
2019-03-11,45.3700,45.7000,45.3400,45.6700,45.6700,978099,0.0000,1.0000
2019-03-08,44.4600,45.1000,44.4300,45.0700,45.0700,1002374,0.0000,1.0000
