,Date,Volume,Close
2019-05-07,2019-05-07,20456815,42.9200
2019-05-06,2019-05-06,16622810,42.5700
2019-05-03,2019-05-03,14167006,42.0900
2019-05-02,2019-05-02,13018471,42.0800
2019-05-01,2019-05-01,12505160,42.1600
2019-04-30,2019-04-30,15209235,42.0600
2019-04-29,2019-04-29,15558254,41.3900
2019-04-26,2019-04-26,19923495,41.3800
2019-04-25,2019-04-25,15462140,41.9200
2019-04-24,2019-04-24,21153542,41.5000
2019-04-23,2019-04-23,16027468,41.8800
2019-04-22,2019-04-22,16854282,41.8500
2019-04-18,2019-04-18,21814837,42.1200
2019-04-17,2019-04-17,15807748,41.5800
2019-04-16,2019-04-16,14645738,41.5100
2019-04-15,2019-04-15,20561556,41.6200
2019-04-12,2019-04-12,16245132,42.3200
2019-04-11,2019-04-11,15769463,42.5500
2019-04-10,2019-04-10,16084145,42.4000
2019-04-09,2019-04-09,9727407,42.9600
2019-04-08,2019-04-08,5111275,43.5700
2019-04-05,2019-04-05,7739815,43.7100
2019-04-04,2019-04-04,6326143,43.4900
2019-04-03,2019-04-03,3036573,43.5400
2019-04-02,2019-04-02,9092284,43.6700
2019-04-01,2019-04-01,12280335,43.2900
2019-03-29,2019-03-29,10443953,42.7800
2019-03-28,2019-03-28,24487406,42.5000
2019-03-27,2019-03-27,14697025,43.4900
2019-03-26,2019-03-26,21868610,43.8400
2019-03-25,2019-03-25,17916382,43.0700
2019-03-22,2019-03-22,20090892,42.4500
2019-03-21,2019-03-21,17313343,42.2700
2019-03-20,2019-03-20,15483280,42.7600
2019-03-19,2019-03-19,12945502,42.6600
2019-03-18,2019-03-18,10736113,43.0100
2019-03-15,2019-03-15,12030718,43.2000
2019-03-14,2019-03-14,16487972,43.2900
2019-03-13,2019-03-13,15004860,42.4600
2019-03-12,2019-03-12,12598499,42.7700
2019-03-11,2019-03-11,11152826,42.8900
2019-03-08,2019-03-08,16055427,42.6200
2019-03-07,2019-03-07,7236711,43.1500
2019-03-06,2019-03-06,10344783,43.3600
2019-03-05,2019-03-05,15767155,43.3600
2019-03-04,2019-03-04,13338016,42.9600
2019-03-01,2019-03-01,19778361,42.4300
2019-02-28,2019-02-28,24090723,43.1100
2019-02-27,2019-02-27,12966187,42.2800
2019-02-26,2019-02-26,12738565,41.6700
2019-02-25,2019-02-25,11244857,41.9600
2019-02-22,2019-02-22,11618468,41.3800
2019-02-21,2019-02-21,10724972,41.5800
2019-02-20,2019-02-20,9101167,42.0400
2019-02-19,2019-02-19,8283092,41.7700
2019-02-15,2019-02-15,10842503,41.5400
2019-02-14,2019-02-14,11926701,41.9600
2019-02-13,2019-02-13,9625114,42.3300
2019-02-12,2019-02-12,10488480,41.9700
2019-02-11,2019-02-11,9693096,42.1600
2019-02-08,2019-02-08,16252219,42.2400
2019-02-07,2019-02-07,15356150,42.3500
2019-02-06,2019-02-06,9427360,42.7900
2019-02-05,2019-02-05,13667281,42.7300
2019-02-04,2019-02-04,30166606,42.6100
2019-02-01,2019-02-01,14788551,42.5900
2019-01-31,2019-01-31,18796054,42.7900
2019-01-30,2019-01-30,35920172,43.2400
2019-01-29,2019-01-29,19441501,42.1900
2019-01-28,2019-01-28,16199274,42.2900
2019-01-25,2019-01-25,15553774,41.9900
2019-01-24,2019-01-24,20384217,42.0200
2019-01-23,2019-01-23,11801562,41.9200
2019-01-22,2019-01-22,14180003,41.6800
2019-01-18,2019-01-18,12903557,41.6500
2019-01-17,2019-01-17,12299062,42.0000
