,Date,Volume,Close
2019-05-07,2019-05-07,5804305,104.7000
2019-05-06,2019-05-06,4890716,105.6800
2019-05-03,2019-05-03,4793454,106.0800
2019-05-02,2019-05-02,6270323,105.5600
2019-05-01,2019-05-01,6734075,104.9300
2019-04-30,2019-04-30,8251321,106.4800
2019-04-29,2019-04-29,4787561,104.7800
2019-04-26,2019-04-26,7747682,105.8600
2019-04-25,2019-04-25,6085314,103.2800
2019-04-24,2019-04-24,10094777,103.6900
2019-04-23,2019-04-23,15979844,103.1600
2019-04-22,2019-04-22,9057246,106.0100
2019-04-18,2019-04-18,7249033,106.0500
2019-04-17,2019-04-17,6778175,105.8500
2019-04-16,2019-04-16,8136106,106.4200
2019-04-15,2019-04-15,5639476,105.7300
2019-04-12,2019-04-12,6707889,105.0600
2019-04-11,2019-04-11,5078440,104.7500
2019-04-10,2019-04-10,5394253,104.6500
2019-04-09,2019-04-09,5820336,104.6600
2019-04-08,2019-04-08,8468598,104.9700
2019-04-05,2019-04-05,4281790,103.6500
2019-04-04,2019-04-04,4786164,103.4300
2019-04-03,2019-04-03,5226529,103.6900
2019-04-02,2019-04-02,6088847,103.7500
2019-04-01,2019-04-01,6626516,103.6400
2019-03-29,2019-03-29,7535489,104.0500
2019-03-28,2019-03-28,6793681,103.5500
2019-03-27,2019-03-27,6037090,102.9000
2019-03-26,2019-03-26,6909519,103.0200
2019-03-25,2019-03-25,6955549,101.9600
2019-03-22,2019-03-22,11036296,101.6600
2019-03-21,2019-03-21,8221041,102.4900
2019-03-20,2019-03-20,7513966,101.7200
2019-03-19,2019-03-19,7334116,101.9000
2019-03-18,2019-03-18,8442771,101.5100
2019-03-15,2019-03-15,30802712,102.4400
2019-03-14,2019-03-14,8590299,101.3200
2019-03-13,2019-03-13,9883347,101.1800
2019-03-12,2019-03-12,7597455,100.0500
2019-03-11,2019-03-11,7544634,99.5800
2019-03-08,2019-03-08,5144467,98.4100
2019-03-07,2019-03-07,8408598,98.5500
2019-03-06,2019-03-06,4622256,98.9300
2019-03-05,2019-03-05,6274720,99.0900
2019-03-04,2019-03-04,6895292,98.8700
2019-03-01,2019-03-01,7733231,98.4400
2019-02-28,2019-02-28,10575392,98.5500
2019-02-27,2019-02-27,6013574,98.9100
2019-02-26,2019-02-26,7115354,99.8300
2019-02-25,2019-02-25,7436078,99.5700
2019-02-22,2019-02-22,7925568,100.2500
2019-02-21,2019-02-21,7444792,99.7800
2019-02-20,2019-02-20,8947422,99.2800
2019-02-19,2019-02-19,10098532,99.9900
2019-02-15,2019-02-15,12069080,98.4800
2019-02-14,2019-02-14,7930092,98.4600
2019-02-13,2019-02-13,11587166,99.2400
2019-02-12,2019-02-12,11238775,99.2600
2019-02-11,2019-02-11,8494307,98.2700
2019-02-08,2019-02-08,7483220,97.7100
2019-02-07,2019-02-07,8732523,97.1400
2019-02-06,2019-02-06,8693934,97.9200
2019-02-05,2019-02-05,9772377,97.4400
