,Date,Volume,Close
2019-05-07,2019-05-07,2861174,58.2900
2019-05-06,2019-05-06,2313431,58.0800
2019-05-03,2019-05-03,2394734,58.9200
2019-05-02,2019-05-02,3696034,57.4400
2019-05-01,2019-05-01,3054429,57.9400
2019-04-30,2019-04-30,2183302,58.9000
2019-04-29,2019-04-29,1712673,59.2900
2019-04-26,2019-04-26,2557964,59.3000
2019-04-25,2019-04-25,2404416,59.3400
2019-04-24,2019-04-24,2552802,59.4300
2019-04-23,2019-04-23,1404771,60.6000
2019-04-22,2019-04-22,1578637,60.8700
2019-04-18,2019-04-18,1392610,60.7700
2019-04-17,2019-04-17,3401324,60.4600
2019-04-16,2019-04-16,5802887,60.3400
2019-04-15,2019-04-15,2094152,62.4600
2019-04-12,2019-04-12,1768524,62.7800
2019-04-11,2019-04-11,3029406,62.0600
2019-04-10,2019-04-10,3456519,62.4000
2019-04-09,2019-04-09,1918447,61.8900
2019-04-08,2019-04-08,2807283,62.3600
2019-04-05,2019-04-05,1697360,61.0700
2019-04-04,2019-04-04,2334449,61.0400
2019-04-03,2019-04-03,2860403,61.0200
2019-04-02,2019-04-02,2640946,60.9800
2019-04-01,2019-04-01,3186287,59.8500
2019-03-29,2019-03-29,5531528,58.8500
2019-03-28,2019-03-28,5061333,58.0200
2019-03-27,2019-03-27,5049801,57.6600
2019-03-26,2019-03-26,6422744,57.7900
2019-03-25,2019-03-25,2982884,56.9500
2019-03-22,2019-03-22,3280489,56.1400
2019-03-21,2019-03-21,2154638,56.8300
2019-03-20,2019-03-20,2992381,56.6500
2019-03-19,2019-03-19,7251424,56.5200
2019-03-18,2019-03-18,3528948,56.9900
2019-03-15,2019-03-15,1533635,55.9800
2019-03-14,2019-03-14,1525427,56.0000
2019-03-13,2019-03-13,1720634,56.0300
2019-03-12,2019-03-12,1737609,55.3200
2019-03-11,2019-03-11,1972764,55.2800
2019-03-08,2019-03-08,3593038,54.6600
2019-03-07,2019-03-07,4522125,54.7400
2019-03-06,2019-03-06,2881233,59.1900
2019-03-05,2019-03-05,2168151,58.9200
2019-03-04,2019-03-04,2590160,58.6600
2019-03-01,2019-03-01,2538251,58.3600
2019-02-28,2019-02-28,3645834,58.2000
2019-02-27,2019-02-27,4280372,58.5200
2019-02-26,2019-02-26,2608466,58.8000
2019-02-25,2019-02-25,2361712,58.7000
2019-02-22,2019-02-22,2230056,58.8300
2019-02-21,2019-02-21,2514559,58.0200
2019-02-20,2019-02-20,2202657,58.4300
2019-02-19,2019-02-19,2530087,57.8300
2019-02-15,2019-02-15,2428301,57.1500
2019-02-14,2019-02-14,2474472,56.2800
2019-02-13,2019-02-13,2570392,56.3200
2019-02-12,2019-02-12,4602655,55.9200
2019-02-11,2019-02-11,1903171,55.7800
2019-02-08,2019-02-08,5001925,56.0300
2019-02-07,2019-02-07,4054723,56.2700
2019-02-06,2019-02-06,5542951,56.6400
2019-02-05,2019-02-05,2551715,56.2300
2019-02-04,2019-02-04,3743029,56.7400
2019-02-01,2019-02-01,2254494,55.9700
2019-01-31,2019-01-31,2706505,56.2700
2019-01-30,2019-01-30,4056939,55.1600
2019-01-29,2019-01-29,4308318,54.4100
2019-01-28,2019-01-28,3991904,52.6900
2019-01-25,2019-01-25,4542651,52.2600
2019-01-24,2019-01-24,2070801,49.8700
2019-01-23,2019-01-23,2751082,49.9200
2019-01-22,2019-01-22,3697637,50.3100
2019-01-18,2019-01-18,2373602,51.6400
2019-01-17,2019-01-17,1832142,51.6600
2019-01-16,2019-01-16,1987181,50.8900
2019-01-15,2019-01-15,2322893,50.6900
2019-01-14,2019-01-14,1279050,50.5500
2019-01-11,2019-01-11,1500776,50.5100
2019-01-10,2019-01-10,2388271,50.5900
2019-01-09,2019-01-09,4223853,50.8400
2019-01-08,2019-01-08,2997552,50.3000
2019-01-07,2019-01-07,2791882,49.6900
2019-01-04,2019-01-04,3196375,49.2500
2019-01-03,2019-01-03,2501408,46.6500
2019-01-02,2019-01-02,3149600,47.3500
2018-12-31,2018-12-31,1894190,48.4800
2018-12-28,2018-12-28,1879707,48.2100
2018-12-27,2018-12-27,2937297,48.3100
2018-12-26,2018-12-26,2372364,49.1000
2018-12-24,2018-12-24,2174922,47.3700
2018-12-21,2018-12-21,4374337,47.7600
2018-12-20,2018-12-20,4521486,47.7400
2018-12-19,2018-12-19,5236222,47.2700
2018-12-18,2018-12-18,3534084,47.7700
2018-12-17,2018-12-17,3151311,47.1600
