,Date,Volume,Close
2019-05-07,2019-05-07,715953,59.4000
2019-05-06,2019-05-06,960997,60.1000
2019-05-03,2019-05-03,856924,60.0900
2019-05-02,2019-05-02,1148993,59.4800
2019-05-01,2019-05-01,1679420,59.7600
2019-04-30,2019-04-30,1334875,60.5100
2019-04-29,2019-04-29,1858465,59.3100
2019-04-26,2019-04-26,1238533,59.2600
2019-04-25,2019-04-25,789685,58.6300
2019-04-24,2019-04-24,945386,58.6700
2019-04-23,2019-04-23,1735982,58.8600
2019-04-22,2019-04-22,901513,58.7500
2019-04-18,2019-04-18,1906908,58.8600
2019-04-17,2019-04-17,3015024,57.6600
2019-04-16,2019-04-16,860400,57.5600
2019-04-15,2019-04-15,977937,57.5200
2019-04-12,2019-04-12,775225,57.5100
2019-04-11,2019-04-11,859600,57.8400
2019-04-10,2019-04-10,985238,57.9200
2019-04-09,2019-04-09,912547,57.9600
2019-04-08,2019-04-08,813797,58.1900
2019-04-05,2019-04-05,806241,57.9400
2019-04-04,2019-04-04,1245191,58.2100
2019-04-03,2019-04-03,988081,58.1700
2019-04-02,2019-04-02,849247,57.9400
2019-04-01,2019-04-01,1819339,57.9600
2019-03-29,2019-03-29,781589,58.2900
2019-03-28,2019-03-28,940718,58.2800
2019-03-27,2019-03-27,1338601,58.2900
2019-03-26,2019-03-26,1747436,58.4600
2019-03-25,2019-03-25,1120008,57.8100
2019-03-22,2019-03-22,1899715,57.4600
2019-03-21,2019-03-21,1344574,58.3100
2019-03-20,2019-03-20,1460289,57.5900
2019-03-19,2019-03-19,1508868,57.2200
2019-03-18,2019-03-18,1003715,57.3600
2019-03-15,2019-03-15,1594869,57.3600
2019-03-14,2019-03-14,1288511,56.2000
2019-03-13,2019-03-13,828817,55.3700
2019-03-12,2019-03-12,1057946,54.9000
2019-03-11,2019-03-11,1339615,54.6600
2019-03-08,2019-03-08,1101264,55.0200
2019-03-07,2019-03-07,1205518,54.4100
2019-03-06,2019-03-06,958314,54.0100
2019-03-05,2019-03-05,1663822,54.1000
2019-03-04,2019-03-04,1868025,53.6400
2019-03-01,2019-03-01,1103930,53.3900
2019-02-28,2019-02-28,1309908,53.9800
2019-02-27,2019-02-27,1262479,53.8600
2019-02-26,2019-02-26,962417,55.3400
2019-02-25,2019-02-25,827640,54.9600
2019-02-22,2019-02-22,1184035,55.4800
2019-02-21,2019-02-21,924748,56.0200
2019-02-20,2019-02-20,1194872,55.8000
2019-02-19,2019-02-19,871599,55.5300
2019-02-15,2019-02-15,1381318,55.1500
2019-02-14,2019-02-14,873206,55.1100
2019-02-13,2019-02-13,1074868,55.4400
2019-02-12,2019-02-12,1124986,55.5500
2019-02-11,2019-02-11,1083708,54.7300
2019-02-08,2019-02-08,966468,55.0900
2019-02-07,2019-02-07,1159880,55.0800
2019-02-06,2019-02-06,1750936,54.9400
2019-02-05,2019-02-05,1747776,55.6100
2019-02-04,2019-02-04,1059714,54.6200
2019-02-01,2019-02-01,1994473,54.0200
2019-01-31,2019-01-31,1759020,53.5100
2019-01-30,2019-01-30,1956981,53.8500
2019-01-29,2019-01-29,1847813,53.8100
2019-01-28,2019-01-28,1581589,53.1300
2019-01-25,2019-01-25,1219580,53.1300
2019-01-24,2019-01-24,1416808,53.1700
2019-01-23,2019-01-23,1740783,53.8700
2019-01-22,2019-01-22,1788484,53.1300
2019-01-18,2019-01-18,1669705,53.3000
2019-01-17,2019-01-17,1234262,52.9500
2019-01-16,2019-01-16,1043323,52.6200
2019-01-15,2019-01-15,1045772,53.3100
2019-01-14,2019-01-14,1281680,52.7600
2019-01-11,2019-01-11,876973,53.5600
2019-01-10,2019-01-10,2689842,53.3700
2019-01-09,2019-01-09,4184089,53.1500
2019-01-08,2019-01-08,2047421,53.5400
2019-01-07,2019-01-07,1087369,53.5600
2019-01-04,2019-01-04,1804253,53.9300
2019-01-03,2019-01-03,2280752,53.2000
2019-01-02,2019-01-02,1768995,53.4800
2018-12-31,2018-12-31,888266,53.8000
2018-12-28,2018-12-28,1617605,53.4800
2018-12-27,2018-12-27,2261193,53.7400
2018-12-26,2018-12-26,1380361,53.5700
